ISBN,Tipo_Texto,Título,Autor,Editorial,Fecha_Edición,Lugar_Edición,Materia,Fecha_Alta
.,LITERATURA,El doradillo y otros cuentos,156,16,1975,Buenos Aires,2,.
.,TEXTO NO LITERARIO,Diccionario pequeño Larousse ilustrado,93,67,1967,París,130,11/03/1996
987-95000-1-6,LITERATURA,El encargo,157,104,1997,Buenos Aires,2,.
950-538-500-5,TEXTO NO LITERARIO,Pequeño Larousse ilustrado,158,67,1994,Buenos Aires,130,11/03/1996
.,TEXTO NO LITERARIO,Diccionario castellano de bolsillo,159,11,(19--),París,130,11/03/1996
.,TEXTO NO LITERARIO,Nuevo diccionario ilustrado de la lengua española,9,61,1934,Barcelona,133,11/03/1996
.,TEXTO NO LITERARIO,Diccionario de voces nuevas de la lengua castellana,9,105,1940,Buenos Aires,133,11/03/1996
.,LITERATURA,El viento blanco,160,15,1975,Buenos Aires,2,.
950-9522-04-X,TEXTO NO LITERARIO,Los mismos-distintos lugares,161,106,1996,Buenos Aires,132,.
950-12-6681-8,TEXTO NO LITERARIO,La inteligencia artificial : una aproximación,162,59,1991,Buenos Aires,142,11/03/1996
.,TEXTO NO LITERARIO,Historia social de la literatura y el arte,163,107,1969,Madrid,143,11/03/1996
.,TEXTO NO LITERARIO,Introducción a la historia de la filosofía,164,1,1965,Buenos Aires,144,11/03/1996
.,TEXTO NO LITERARIO,Fragmentos,165,1,1963,Buenos Aires,145,11/03/1996
950-206-3089-6,LITERATURA,Obra poética completa,166,51,1986,Madrid,84,11/03/1996
.,LITERATURA,El lobo estepario,167,108,1959,Buenos Aires,104,11/03/1996
84-02-07660-2,LITERATURA,Siddhartha,167,29,1981,Barcelona,146,11/03/1996
.,TEXTO NO LITERARIO,La historia del tango,9,109,1976,Buenos Aires,147,11/03/1996
.,TEXTO NO LITERARIO,El informe Hite : Estudio de la sexualidad femenina,168,102,1985,Barcelona,148,11/03/1996
84-01-37099-X,TEXTO NO LITERARIO,El informe Hite sobre la sexualidad masculina,168,102,1981,Barcelona,149,11/03/1996
950-581-004-2,LITERATURA,Martín Fierro,169,4,1988,Buenos Aires,52,11/03/1996
968-23-0762-7,TEXTO NO LITERARIO,Prehistoria,170,57,1984,México,150,11/03/1996
968-23-0494-6,TEXTO NO LITERARIO,Griegos y persas,171,57,1984,México,151,11/03/1996
968-23-0937-9,TEXTO NO LITERARIO,El siglo XX : Problemas mundiales entre los dos bloques de poder,172,57,1985,México,152,11/03/1996
968-23-0952-2,TEXTO NO LITERARIO,Los inicios de la Europa moderna (1550-1648),173,57,1984,México,153,11/03/1996
968-23-0763-5,TEXTO NO LITERARIO,La formación del Imperio Romano,174,57,1984,México,154,11/03/1996
968-23-0216-7,TEXTO NO LITERARIO,El siglo XX : Europa (1918-1945),175,57,1986,México,155,11/03/1996
968-23-0504-7,TEXTO NO LITERARIO,"Los fundamentos del mundo moderno : edad media tardía, Renacimiento, Reforma",176,57,1985,México,156,11/03/1996
.,TEXTO NO LITERARIO,Genio y figura de Jorge Luis Borges,177,15,1967,Buenos Aires,157,12/03/1996
84-226-2203-3,LITERATURA,La metamorfosis,178,110,1986,Barcelona,158,12/03/1996
.,TEXTO NO LITERARIO,Crítica de la razón pura : Estética trascendental y analítica trascendental,179,18,1957,Buenos Aires,159,12/03/1996
.,TEXTO NO LITERARIO,Por qué no es inútil una nueva crítica de la razón pura : Respuesta a Eberhard,180,1,1968,Buenos Aires,159,12/03/1996
.,LITERATURA,Lírica,181,16,1975,Buenos Aires,7,12/03/1996
.,TEXTO NO LITERARIO,"Historia de los monumentos y esculturas de Buenos Aires : Plaza San Martín, Plaza Lavalle, Parque Lezama",182,111,1985,Buenos Aires,160,12/03/1996
.,TEXTO NO LITERARIO,La historia de vida,183,28,1980,Buenos Aires,161,12/03/1996
950-13-2022-7,TEXTO NO LITERARIO,Elementos de física y química,184,16,1980,Buenos Aires,162,12/03/1996
950-13-2030-8,TEXTO NO LITERARIO,Física elemental,185,16,1981,Buenos Aires,163,12/03/1996
950-13-2043-X,TEXTO NO LITERARIO,Introducción a la física,184,16,1994,Buenos Aires,164,12/03/1996
950-13-2023-5,TEXTO NO LITERARIO,Nociones de física y química,185,16,1982,Buenos Aires,162,12/03/1996
.,TEXTO NO LITERARIO,Una teoría científica de la cultura y otros ensayos,186,17,1976,Buenos Aires,165,12/03/1996
.,TEXTO NO LITERARIO,Totem y tabú,187,51,1967,Madrid,166,.
950-581-005-0,LITERATURA,"Coplas a la muerte del maestre de Santiago, Don Rodrigo Manrique, su padre",188,4,1985,Buenos Aires,7,12/03/1996
.,LITERATURA,Una excursión a los indios ranqueles,189,16,1966,Buenos Aires,36,12/03/1996
.,TEXTO NO LITERARIO,Manual del alumno 4/7 (Capital Federal),9,16,1982,Buenos Aires,167,12/03/1996
950-046-195-2,TEXTO NO LITERARIO,Manual esencial Santillana 4,9,37,1993,Buenos Aires,56,12/03/1996
950-46-196-0,TEXTO NO LITERARIO,Manual esencial Santillana 5,9,37,1993,Buenos Aires,56,12/03/1996
950-046-197-9,TEXTO NO LITERARIO,Manual esencial Santillana 7,9,37,1993,Buenos Aires,56,12/03/1996
950-46-0194-4,TEXTO NO LITERARIO,Manual esencial Santillana 6,9,37,1993,Buenos Aires,56,12/03/1996
.,TEXTO NO LITERARIO,Diccionario politécnico de las lenguas española e inglesa,9,112,1958,Madrid,99,12/03/1996
950-25-1601-X,TEXTO NO LITERARIO,Diccionario hípico : Voces y expresiones rioplatenses,190,6,1978,Buenos Aires,168,12/03/1996
.,LITERATURA,El son entero,191,18,1957,Buenos Aires,169,.
.,TEXTO NO LITERARIO,Diccionario de asonantes y consonantes,192,113,1943,Madrid,170,12/03/1996
.,LITERATURA,Eufemia,193,60,1944,Buenos Aires,53,.
.,TEXTO NO LITERARIO,Diccionario de la conjugación : Los 12.000 verbos en castellano,194,16,1948,Buenos Aires,171,12/03/1996
.,TEXTO NO LITERARIO,Diccionario de la conjugación,194,16,1961,Buenos Aires,171,12/03/1996
84-249-1332-9,TEXTO NO LITERARIO,Breve diccionario etimológico de la lengua castellana,195,114,1973,Madrid,172,12/03/1996
84-249-1321-3,TEXTO NO LITERARIO,Diccionario crítico etimológico de la lengua castellana,195,114,1974,Madrid,172,12/03/1996
.,TEXTO NO LITERARIO,Diccionario etimológico español e hispánico,196,115,1985,Madrid,173,12/03/1996
.,TEXTO NO LITERARIO,Diccionario español escolar etimológico,197,116,(19--),Madrid,173,12/03/1996
.,TEXTO NO LITERARIO,Diccionario etimológico de la lengua castellana,9,27,1941,Buenos Aires,172,12/03/1996
.,TEXTO NO LITERARIO,Diccionario etimológico de la lengua castellana,198,91,1946,Buenos Aires,173,12/03/1996
.,TEXTO NO LITERARIO,Diccionario general etimológico de la lengua española,199,117,1898,Madrid,173,12/03/1996
.,LITERATURA,Belleza : En verso,200,18,1945,Buenos Aires,7,.
.,TEXTO NO LITERARIO,Diccionario ideológico de la lengua española,201,118,1948,Barcelona,133,12/03/1996
84-283-1366-0,TEXTO NO LITERARIO,Diccionario de métrica española,202,21,1985,Madrid,174,12/03/1996
.,TEXTO NO LITERARIO,Diccionario de parónimos castellanos,203,61,1971,Buenos Aires,175,12/03/1996
950-13-2067-7,TEXTO NO LITERARIO,Nuevo castellano 1 : Lengua y literatura. Lenguaje y comunicación,204,16,1983,Buenos Aires,176,12/03/1996
.,TEXTO NO LITERARIO,Nuevo castellano 2 : Lengua y literatura. Lenguaje y comunicación,204,16,1982,Buenos Aires,177,12/03/1996
950-13-2069-3,TEXTO NO LITERARIO,Nuevo castellano 3 : Lengua y literatura. Lenguaje y comunicación,204,16,1982,Buenos Aires,178,12/03/1996
950-46-0121-9,TEXTO NO LITERARIO,Ciencias biológicas 3,205,37,1990,Buenos Aires,179,12/03/1996
950-581-039-5,LITERATURA,Las de Barranco,206,4,1988,Buenos Aires,180,12/03/1996
